video_id,title,views,publishedAt,durationSec,channel_id,channel_title,channel_url,watch_url
z083L9AmOGk,조나단한테 털리는 실제 손흥민..,432363,2025-08-15T08:01:09Z,52,UCzv4fNoQH7DG4dYpEuHgBfg,셀럽뿅감독,https://www.youtube.com/channel/UCzv4fNoQH7DG4dYpEuHgBfg,https://www.youtube.com/watch?v=z083L9AmOGk
2PEcX3W4d1g,"""손흥민 LAFC 첫 훈련 최초 공개""...""베테랑 신입 등장에 분위기 폭발""",422295,2025-08-15T04:20:57Z,154,UCLNrdUoW2HhoN__dpRd585w,MBC AMERICA NEWS,https://www.youtube.com/channel/UCLNrdUoW2HhoN__dpRd585w,https://www.youtube.com/watch?v=2PEcX3W4d1g
nqZS3mqHUaY,미쳐버린 손흥민 미국 인기에 찐반응ㅋㅋ,407946,2025-08-13T05:06:14Z,56,UCGf-3tzlytK_4shegtGEfoQ,Jin Soccer 진사커,https://www.youtube.com/channel/UCGf-3tzlytK_4shegtGEfoQ,https://www.youtube.com/watch?v=nqZS3mqHUaY
sr1yIqtjSQA,손흥민 어시스트 장면에서 제가 뒷걸음친 진짜 이유요?!  / 손흥민 / #손흥민 ,402654,2025-08-17T07:04:00Z,484,UC3NiuSfZKc9FofALg4TzBAQ,월드티비,https://www.youtube.com/channel/UC3NiuSfZKc9FofALg4TzBAQ,https://www.youtube.com/watch?v=sr1yIqtjSQA
ztz5vJqKDOY,"손흥민 유니폼 전세계 1위, 입 찢어진 LAFC회장 충격 근황",401568,2025-08-15T11:30:55Z,47,UCuyNWJ46UnESpJ4d_cb7p5A,스타라이트,https://www.youtube.com/channel/UCuyNWJ46UnESpJ4d_cb7p5A,https://www.youtube.com/watch?v=ztz5vJqKDOY
PJydFYffYQM,"손흥민, 쐐기골 도움에 MVP…""차원이 다르다"" / SBS 8뉴스",395418,2025-08-17T12:12:05Z,132,UCkinYTS9IHqOEwR1Sze2JTw,SBS 뉴스,https://www.youtube.com/channel/UCkinYTS9IHqOEwR1Sze2JTw,https://www.youtube.com/watch?v=PJydFYffYQM
lXbno_Zp2Ik,손흥민 없으니 찬밥 신세된 토트넘,394082,2025-08-12T10:42:49Z,17,UC0HOOrIZm2xXP3rhF0sqIuw,CP아일랜드,https://www.youtube.com/channel/UC0HOOrIZm2xXP3rhF0sqIuw,https://www.youtube.com/watch?v=lXbno_Zp2Ik
n4_vY-o_k_c,“손흥민 경기후 저 행동 뭐죠?” 미공개 영상 속 한국식 행동에 LA 발칵 // 동료들 마저 깜짝 놀란 쏘니현상,391259,2025-08-11T10:44:58Z,492,UCmEx0Z66HZdOrYqQhM46w3A,단골이슈,https://www.youtube.com/channel/UCmEx0Z66HZdOrYqQhM46w3A,https://www.youtube.com/watch?v=n4_vY-o_k_c
mRDLkIRQBVs,미쳤다 손흥민 LA 선발 데뷔전 1어시폭발!!! 평점 8.4 맹활약 터졌다! 혼자 클래스 다르네; 손흥민 스텝오버에 나가떨어지는 MLS 수비수들 ㅋㅋ [LA vs 뉴잉글랜드],386117,2025-08-17T01:31:59Z,513,UCLsJ7sVuGf0auEySnT2BHag,풋볼 포레스트 - Forrest Football,https://www.youtube.com/channel/UCLsJ7sVuGf0auEySnT2BHag,https://www.youtube.com/watch?v=mRDLkIRQBVs
BcFWYcA3LNs,"베컴도 극찬!MLS 첫 경기에서 승점 올린 손흥민, 진짜 리더.MLS 팬들, 손흥민 플레이에 감탄 폭발! #손흥민 #LAFC #MLS #손흥민데뷔전 #DavidBeckham",385652,2025-08-13T11:05:00Z,60,UCmxyzxATj7B9PATq0jyF8gw,한국은 빠밤!!!,https://www.youtube.com/channel/UCmxyzxATj7B9PATq0jyF8gw,https://www.youtube.com/watch?v=BcFWYcA3LNs
